P atm,T K,phi,w
10.1653069,299.85,0.94,0.268
10.1653069,322.05,0.95,0.268
10.1653069,388.75,0.97,0.268
20.4293061,299.85,0.9,0.268
20.4293061,322.05,0.92,0.268
20.4293061,388.75,0.96,0.268
40.8586122,299.85,0.8,0.268
40.8586122,322.05,0.84,0.268
40.8586122,388.75,0.92,0.268
74.019225,323.15,0.75,0.268
74.019225,373.15,0.7213333333,0.268
74.019225,473.15,0.956,0.268
74.019225,573.15,0.7213333333,0.268
74.019225,673.15,0.7213333333,0.268
98.6923,323.15,0.6975,0.268
98.6923,373.15,0.805,0.268
98.6923,473.15,0.9375,0.268
98.6923,573.15,1.005,0.268
98.6923,673.15,1.033,0.268
197.3846,323.15,0.415,0.268
197.3846,373.15,0.5975,0.268
197.3846,473.15,0.876,0.268
197.3846,573.15,0.9775,0.268
197.3846,673.15,1.042,0.268
394.7692,323.15,0.31875,0.268
394.7692,373.15,0.50125,0.268
394.7692,473.15,0.8,0.268
394.7692,573.15,0.98,0.268
394.7692,673.15,1.06875,0.268
